registration_number,title_en,start_date,end_date,status,owner_org
IRP-010,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-011,Indigenous Reconciliation Program,2022-11-15,2023-04-01,P,dnd-mdn
IRP-013,Indigenous Reconciliation Program,2022-11-01,2023-01-25,P,dnd-mdn
C-011123,Follow-up discussions with Indigenous organizations consulted during the development of the new Directive on the Management of Real Property,2022-11-01,2024-03-31,P,tbs-sct
C-0000089,Special Advocate Program Independent Selection Committee,2022-09-06,2023-01-31,P,jus
C0000081,Request for Proposal for Facial Recognition Software Service Contract (Maintenance),2022-02-01,2022-02-01,P,cic
C-0000002,Watchlist 2020 mid-cycle consultation with industry,2021-11-04,2022-02-28,P,tsb-bst
C0000093,Discussions with the Veterans Transition Network (VTN) on faciliating travel of persons out of Afghanistan,2021-10-01,2022-03-31,P,cic
C0000080,Invitation to Qualify - Facial Recognition Software Service Contract Project,2021-09-07,2021-10-12,P,cic
C0000096,Discussions with Front Line Defenders (FLD) and ProtectDefenders.eu (PD) on facilitating travel of persons out of Afghanistan and resettlement referrals,2021-09-01,2022-03-31,P,cic
C0000092,Discussions with the U.S. government on joint resettlement efforts of Afghan nationals and evacuation of Canadian citizens,2021-08-01,2022-03-31,P,cic
C0000069,Ministerial Consultation on Immigration Levels and Responsive Economic Immgration,2021-07-01,2021-09-13,P,cic
DFO20210511-07,Proposed ticketing for the enforcement of a fisheries offence under the Fisheries Act,2021-06-30,2021-01-07,P,dfo-mpo
C0000070,Consultation on Immigration Levels and Responsive Economic Immigration,2021-06-01,2021-08-31,P,cic
C0000085,Regulations Amending the Immigration and Refugee Protection Regulations (Temporary Foreign Workers),2021-06-01,2021-08-09,P,cic
C0000064,Regulations Amending the Immigration and Refugee Protection Regulations (Excessive Demand),2021-03-20,2021-04-18,P,cic
C-0000004,Accessibility guidelines for COVID-19 and other emergencies: accessible service delivery,2021-02-17,2021-02-18,P,casdo-ocena
C-0085,Competition Bureau invites feedback on changes to the Textile Labelling and Advertising Regulations,2020-08-31,2020-10-30,P,ic
C-0086,"Canada Gazette, Part I: Public Consultations on proposed changes to the Patent Rules and Trademark Regulations in regards to the creation of the College of Patent Agents and Trademark Agents , as part of Budget Implementation Act, 2018, No. 2.",2020-08-03,2020-08-31,P,ic
C-0000011,Co-development of a new Indigenous Broadcasting Policy,2019-06-20,2020-03-31,P,crtc
